PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
1,0,3,0,22,1,0,2
2,1,1,1,38,1,0,0
3,1,3,1,26,0,0,2
4,1,1,1,35,1,0,2
5,0,3,0,35,0,0,2
6,0,3,0,28,0,0,1
7,0,1,0,54,0,0,2
8,0,3,0,2,3,1,2
9,1,3,1,27,0,2,2
10,1,2,1,14,1,0,0
11,1,3,1,4,1,1,2
12,1,1,1,58,0,0,2
13,0,3,0,20,0,0,2
14,0,3,0,39,1,5,2
15,0,3,1,14,0,0,2
16,1,2,1,55,0,0,2
17,0,3,0,2,4,1,1
18,1,2,0,28,0,0,2
19,0,3,1,31,1,0,2
20,1,3,1,28,0,0,0
21,0,2,0,35,0,0,2
22,1,2,0,34,0,0,2
23,1,3,1,15,0,0,1
24,1,1,0,28,0,0,2
25,0,3,1,8,3,1,2
26,1,3,1,38,1,5,2
27,0,3,0,28,0,0,0
28,0,1,0,19,3,2,2
29,1,3,1,28,0,0,1
30,0,3,0,28,0,0,2
31,0,1,0,40,0,0,0
32,1,1,1,28,1,0,0
33,1,3,1,28,0,0,1
34,0,2,0,66,0,0,2
35,0,1,0,28,1,0,0
36,0,1,0,42,1,0,2
37,1,3,0,28,0,0,0
38,0,3,0,21,0,0,2
39,0,3,1,18,2,0,2
40,1,3,1,14,1,0,0
41,0,3,1,40,1,0,2
42,0,2,1,27,1,0,2
43,0,3,0,28,0,0,0
44,1,2,1,3,1,2,0
45,1,3,1,19,0,0,1
46,0,3,0,28,0,0,2
47,0,3,0,28,1,0,1
48,1,3,1,28,0,0,1
49,0,3,0,28,2,0,0
50,0,3,1,18,1,0,2
51,0,3,0,7,4,1,2
52,0,3,0,21,0,0,2
53,1,1,1,49,1,0,0
54,1,2,1,29,1,0,2
55,0,1,0,65,0,1,0
56,1,1,0,28,0,0,2
57,1,2,1,21,0,0,2
58,0,3,0,28,0,0,0
59,1,2,1,5,1,2,2
60,0,3,0,11,5,2,2
61,0,3,0,22,0,0,0
62,1,1,1,38,0,0,2
63,0,1,0,45,1,0,2
64,0,3,0,4,3,2,2
65,0,1,0,28,0,0,0
66,1,3,0,28,1,1,0
67,1,2,1,29,0,0,2
68,0,3,0,19,0,0,2
69,1,3,1,17,4,2,2
70,0,3,0,26,2,0,2
71,0,2,0,32,0,0,2
72,0,3,1,16,5,2,2
73,0,2,0,21,0,0,2
74,0,3,0,26,1,0,0
75,1,3,0,32,0,0,2
76,0,3,0,25,0,0,2
77,0,3,0,28,0,0,2
78,0,3,0,28,0,0,2
79,1,2,0,0,0,2,2
80,1,3,1,30,0,0,2
81,0,3,0,22,0,0,2
82,1,3,0,29,0,0,2
83,1,3,1,28,0,0,1
84,0,1,0,28,0,0,2
85,1,2,1,17,0,0,2
86,1,3,1,33,3,0,2
87,0,3,0,16,1,3,2
88,0,3,0,28,0,0,2
89,1,1,1,23,3,2,2
90,0,3,0,24,0,0,2
91,0,3,0,29,0,0,2
92,0,3,0,20,0,0,2
93,0,1,0,46,1,0,2
94,0,3,0,26,1,2,2
95,0,3,0,59,0,0,2
96,0,3,0,28,0,0,2
97,0,1,0,71,0,0,0
98,1,1,0,23,0,1,0
99,1,2,1,34,0,1,2
100,0,2,0,34,1,0,2
101,0,3,1,28,0,0,2
102,0,3,0,28,0,0,2
103,0,1,0,21,0,1,2
104,0,3,0,33,0,0,2
105,0,3,0,37,2,0,2
106,0,3,0,28,0,0,2
107,1,3,1,21,0,0,2
108,1,3,0,28,0,0,2
109,0,3,0,38,0,0,2
110,1,3,1,28,1,0,1
111,0,1,0,47,0,0,2
112,0,3,1,14,1,0,0
113,0,3,0,22,0,0,2
114,0,3,1,20,1,0,2
115,0,3,1,17,0,0,0
116,0,3,0,21,0,0,2
117,0,3,0,70,0,0,1
118,0,2,0,29,1,0,2
119,0,1,0,24,0,1,0
120,0,3,1,2,4,2,2
121,0,2,0,21,2,0,2
122,0,3,0,28,0,0,2
123,0,2,0,32,1,0,0
124,1,2,1,32,0,0,2
125,0,1,0,54,0,1,2
126,1,3,0,12,1,0,0
127,0,3,0,28,0,0,1
128,1,3,0,24,0,0,2
129,1,3,1,28,1,1,0
130,0,3,0,45,0,0,2
131,0,3,0,33,0,0,0
132,0,3,0,20,0,0,2
133,0,3,1,47,1,0,2
134,1,2,1,29,1,0,2
135,0,2,0,25,0,0,2
136,0,2,0,23,0,0,0
137,1,1,1,19,0,2,2
138,0,1,0,37,1,0,2
139,0,3,0,16,0,0,2
140,0,1,0,24,0,0,0
141,0,3,1,28,0,2,0
142,1,3,1,22,0,0,2
143,1,3,1,24,1,0,2
144,0,3,0,19,0,0,1
145,0,2,0,18,0,0,2
146,0,2,0,19,1,1,2
147,1,3,0,27,0,0,2
148,0,3,1,9,2,2,2
149,0,2,0,36,0,2,2
150,0,2,0,42,0,0,2
151,0,2,0,51,0,0,2
152,1,1,1,22,1,0,2
153,0,3,0,55,0,0,2
154,0,3,0,40,0,2,2
155,0,3,0,28,0,0,2
156,0,1,0,51,0,1,0
157,1,3,1,16,0,0,1
158,0,3,0,30,0,0,2
159,0,3,0,28,0,0,2
160,0,3,0,28,8,2,2
161,0,3,0,44,0,1,2
162,1,2,1,40,0,0,2
163,0,3,0,26,0,0,2
164,0,3,0,17,0,0,2
165,0,3,0,1,4,1,2
166,1,3,0,9,0,2,2
167,1,1,1,28,0,1,2
168,0,3,1,45,1,4,2
169,0,1,0,28,0,0,2
170,0,3,0,28,0,0,2
171,0,1,0,61,0,0,2
172,0,3,0,4,4,1,1
173,1,3,1,1,1,1,2
174,0,3,0,21,0,0,2
175,0,1,0,56,0,0,0
176,0,3,0,18,1,1,2
177,0,3,0,28,3,1,2
178,0,1,1,50,0,0,0
179,0,2,0,30,0,0,2
180,0,3,0,36,0,0,2
181,0,3,1,28,8,2,2
182,0,2,0,28,0,0,0
183,0,3,0,9,4,2,2
184,1,2,0,1,2,1,2
185,1,3,1,4,0,2,2
186,0,1,0,28,0,0,2
187,1,3,1,28,1,0,1
188,1,1,0,45,0,0,2
189,0,3,0,40,1,1,1
190,0,3,0,36,0,0,2
191,1,2,1,32,0,0,2
192,0,2,0,19,0,0,2
193,1,3,1,19,1,0,2
194,1,2,0,3,1,1,2
195,1,1,1,44,0,0,0
196,1,1,1,58,0,0,0
197,0,3,0,28,0,0,1
198,0,3,0,42,0,1,2
199,1,3,1,28,0,0,1
200,0,2,1,24,0,0,2
201,0,3,0,28,0,0,2
202,0,3,0,28,8,2,2
203,0,3,0,34,0,0,2
204,0,3,0,45,0,0,0
205,1,3,0,18,0,0,2
206,0,3,1,2,0,1,2
207,0,3,0,32,1,0,2
208,1,3,0,26,0,0,0
209,1,3,1,16,0,0,1
210,1,1,0,40,0,0,0
211,0,3,0,24,0,0,2
212,1,2,1,35,0,0,2
213,0,3,0,22,0,0,2
214,0,2,0,30,0,0,2
215,0,3,0,28,1,0,1
216,1,1,1,31,1,0,0
217,1,3,1,27,0,0,2
218,0,2,0,42,1,0,2
219,1,1,1,32,0,0,0
220,0,2,0,30,0,0,2
221,1,3,0,16,0,0,2
222,0,2,0,27,0,0,2
223,0,3,0,51,0,0,2
224,0,3,0,28,0,0,2
225,1,1,0,38,1,0,2
226,0,3,0,22,0,0,2
227,1,2,0,19,0,0,2
228,0,3,0,20,0,0,2
229,0,2,0,18,0,0,2
230,0,3,1,28,3,1,2
231,1,1,1,35,1,0,2
232,0,3,0,29,0,0,2
233,0,2,0,59,0,0,2
234,1,3,1,5,4,2,2
235,0,2,0,24,0,0,2
236,0,3,1,28,0,0,2
237,0,2,0,44,1,0,2
238,1,2,1,8,0,2,2
239,0,2,0,19,0,0,2
240,0,2,0,33,0,0,2
241,0,3,1,28,1,0,0
242,1,3,1,28,1,0,1
243,0,2,0,29,0,0,2
244,0,3,0,22,0,0,2
245,0,3,0,30,0,0,0
246,0,1,0,44,2,0,1
247,0,3,1,25,0,0,2
248,1,2,1,24,0,2,2
249,1,1,0,37,1,1,2
